,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,days_covid_present,month,year,Missing Tests Units,people tested,samples tested,tests performed,CAN,GBR,IND,KOR,SWE,USA
21236,0.0,1.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,-1.97,0,1,1,1,0,0,0,1,0,0,0,0,0
21237,1.0,0.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,3.4120779220779216,1,1,1,1,0,0,0,1,0,0,0,0,0
21238,1.0,1.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,3.4120779220779216,2,1,1,1,0,0,0,1,0,0,0,0,0
21239,2.0,0.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,3.4120779220779216,3,1,1,1,0,0,0,1,0,0,0,0,0
21240,2.0,0.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,3.4120779220779216,4,1,1,1,0,0,0,1,0,0,0,0,0
21241,2.0,2.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,3.4120779220779216,5,1,1,0,0,0,1,1,0,0,0,0,0
21242,4.0,0.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,3.4120779220779216,6,2,1,0,0,0,1,1,0,0,0,0,0
21243,4.0,0.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,-3.77,7,2,1,0,0,0,1,1,0,0,0,0,0
21244,4.0,0.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,3.4120779220779216,8,2,1,0,0,0,1,1,0,0,0,0,0
21245,4.0,0.0,0.0,0.0,1.0774548440065683,499.8948220064725,1855.1860841423947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.5,82.43,0.929,3.4120779220779216,9,2,1,0,0,0,1,1,0,0,0,0,0
